risk_scale,cell_size_km,all_targets,reachable_targets,candidate_targets,completed_targets,completion_rate,total_expected_reward,total_time,total_risk_cost,total_energy,mean_survival,load_balance,efficiency_J
1.0,0.25,384,384,80,44,0.658376,68.635833,343.308011,145.70201,657.072144,0.1962329,0.205061,0.359463
1.0,0.5,384,384,80,28,0.389279,87.443844,341.571529,76.647654,723.729711,0.05828714,0.292804,0.312496
1.0,1.0,384,249,80,23,0.27075,70.946106,257.127413,38.687525,455.204733,0.47949531,-0.030574,0.284531
